product_id,product_name,sku,price
P001,Smart Lipstick,20637,107
P002,Smart Earbuds,72596,107
P003,Deluxe Hoodie,52254,24
P004,Classic Yoga Mat,55169,77
P005,Deluxe Ring Light,99611,37
P006,Smart Face Cream,53221,29
P007,Pro Bluetooth Speaker,88603,41
P008,Classic Sneakers,92379,57
P009,Deluxe Backpack,30793,36
P010,Smart Sunglasses,75922,15
P011,Eco Wrist Watch,91612,65
P012,Smart Desk Lamp,74034,75
P013,Pro Coffee Mug,45984,75
P014,Eco Notebook,80444,53
P015,Classic Wireless Charger,69946,64
P016,Eco Smart Thermostat,46232,78
P017,Classic Phone Case,21401,103
P018,Smart Laptop Stand,99893,48
P019,Deluxe Makeup Kit,18437,97
P020,Pro Water Bottle,93376,116
P021,Pro Hair Dryer,48159,64
P022,Eco Tripod,79017,72
P023,Deluxe Travel Pillow,60563,62
P024,Classic Facial Mask,99640,91
P025,Smart Essential Oil,30511,73
P026,Eco Keyboard,66169,74
P027,Eco Mouse Pad,68164,12
P028,Pro Table Mirror,52366,88
P029,Pro Beard Trimmer,25768,61
P030,Deluxe Diffuser,95447,45
P031,Classic LED Strip,25442,51
P032,Smart Hand Sanitizer,90884,112
P033,Classic Graphic Tee,91109,80
P034,Classic Running Shorts,74621,38
P035,Pro Wireless Mouse,65627,71
P036,Classic Fragrance Set,43708,44
P037,Pro Monitor Riser,53862,103
P038,Smart Blue Light Glasses,39362,45
P039,Pro Body Lotion,45156,83
P040,Eco Slippers,90363,51
P041,Classic Tote Bag,63249,116
P042,Eco Charging Cable,56608,83
P043,Smart Face Roller,51719,70
P044,Classic Card Holder,19429,52
P045,Eco Tumbler,56948,28
P046,Eco Fleece Blanket,94059,20
P047,Classic Shower Speaker,67125,39
P048,Eco Power Bank,50721,55
P049,Classic Microphone,24626,91
P050,Deluxe Cap,90134,35
